"Šifra";"Naziv proizvoda";"Brend";"Kategorija";"Aktualna cijena (EUR)";"Redovna cijena (EUR)";"Dostupne veličine";"Boja";"Dostupnost";"Poveznica"
"C8051_BLACK";"CORINA ŽENSKE CIPELE";"CORINA";"Žensko - Obuća - Cipele";"15,99";"19,99";"36, 37, 38, 39";"crna";"Dostupno";"https://woolf.hr/zenske-cipele-proizvod-9944/"
"6502157_CV";"CRIJEVO ZA SUP PUMPU";"";"Fitnes - SPRAVE I DODACI - Pribor";"7,99";"11,99";"";"crna";"Dostupno";"https://woolf.hr/crijevo-za-sup-pumpu-proizvod-12679/"
"X2211_BLUE";"CSCK.S GUMENE ČIZME";"CSCK.S";"Dječje - Obuća - Čizme - Gumene čizme";"17,99";"23,99";"32, 33";"plava";"Dostupno";"https://woolf.hr/gumene-cizme-proizvod-9469/"
"HJ61_BLACK";"CSCK.S GUMENE ČIZME";"CSCK.S";"Dječje - Obuća - Čizme - Gumene čizme";"17,99";"20,99";"32";"crna]]><![CDATA[narancasta";"Dostupno";"https://woolf.hr/gumene-cizme-proizvod-10837/"
"HJ53_NAVY";"CSCK.S GUMENE ČIZME";"CSCK.S";"Dječje - Obuća - Čizme - Gumene čizme";"17,99";"20,99";"18, 19]]><![CDATA[sareno, 20, 22";"plava";"Dostupno";"https://woolf.hr/gumene-cizme-proizvod-10842/"
"HJ52_NAVY";"CSCK.S GUMENE ČIZME";"CSCK.S";"Dječje - Obuća - Čizme - Gumene čizme";"17,99";"20,99";"18";"pink]]><![CDATA[plava";"Dostupno";"https://woolf.hr/gumene-cizme-proizvod-10843/"
"HJ73_PINK";"CSCK.S GUMENE ČIZME";"CSCK.S";"Dječje - Obuća - Čizme - Gumene čizme";"18,99";"20,99";"20";"pink";"Dostupno";"https://woolf.hr/gumene-cizme-proizvod-11972/"
"HJ79_BLACK";"CSCK.S GUMENE ČIZME";"CSCK.S";"Dječje - Obuća - Čizme - Gumene čizme";"19,99";"22,99";"31, 34";"crna";"Dostupno";"https://woolf.hr/gumene-cizme-proizvod-11973/"
"HJ81_BLACK";"CSCK.S GUMENE ČIZME";"CSCK.S";"Dječje - Obuća - Čizme - Gumene čizme";"19,99";"22,99";"32, 33";"crna";"Dostupno";"https://woolf.hr/gumene-cizme-proizvod-11974/"
"X77182A_BLACK";"CSCK.S TENISICE";"CSCK.S";"Dječje - Obuća - Tenisice";"16,99";"27,99";"31";"crna]]><![CDATA[zelena";"Dostupno";"https://woolf.hr/tenisice-proizvod-9476/"
"B893695_NAVY";"D.T. NEW YORK SVJETLEĆE TENISICE";"D.T. NEW YORK";"Dječje - Obuća - Tenisice";"19,99";"28,99";"22";"ljubicasta]]><![CDATA[plava";"Dostupno";"https://woolf.hr/svjetlece-tenisice-proizvod-9322/"
"B186870_BROWN";"D.T. NEW YORK TENISICE";"D.T. NEW YORK";"Dječje - Obuća - Tenisice";"21,99";"27,99";"29, 31, 32, 33";"smeda";"Dostupno";"https://woolf.hr/tenisice-proizvod-9306/"
"B851340_BLACK";"D.T. NEW YORK TENISICE";"D.T. NEW YORK";"Žensko - Obuća - Tenisice";"32,49";"35,99";"36";"crna";"Dostupno";"https://woolf.hr/tenisice-proizvod-9314/"
"WLFP203_PURPLE";"DISNEY SANDALE LITTLE MERMAID";"DISNEY";"Dječje - Obuća - Sandale";"4,99";"8,99";"24";"ljubicasta";"Dostupno";"https://woolf.hr/sandale-little-mermaid-proizvod-9212/"
"WLFP0139_GREEN";"DISNEY SANDALE MERMAID";"DISNEY";"Dječje - Obuća - Sandale";"4,99";"11,99";"24, 26";"zelena]]><![CDATA[sareno";"Dostupno";"https://woolf.hr/sandale-mermaid-proizvod-9650/"
"WLFP203_GREEN";"DISNEY SANDALE MINNIE MOUSE";"DISNEY";"Dječje - Obuća - Sandale";"4,99";"11,81";"24, 25";"zelena]]><![CDATA[sareno";"Dostupno";"https://woolf.hr/sandale-minnie-mouse-proizvod-8630/"
"WLFP0140_BLUE";"DISNEY SANDALE NEMO";"DISNEY";"Dječje - Obuća - Sandale";"4,99";"11,99";"28";"narancasta]]><![CDATA[plava";"Dostupno";"https://woolf.hr/sandale-nemo-proizvod-9685/"
"T034_RED";"Dr. Jack ANATOMSKE PAPUČE";"Dr. Jack";"Žensko - Obuća - Papuče";"16,99";"21,99";"36";"crvena";"Dostupno";"https://woolf.hr/anatomske-papuce-proizvod-11179/"
"JPF370_BLACK";"Dr. Jack ANATOMSKE PAPUČE";"Dr. Jack";"Žensko - Obuća - Papuče";"16,99";"21,99";"37";"crna";"Dostupno";"https://woolf.hr/anatomske-papuce-proizvod-11871/"
"JPF370_GREY";"Dr. Jack ANATOMSKE PAPUČE";"Dr. Jack";"Žensko - Obuća - Papuče";"16,99";"21,99";"36, 37, 40, 41";"siva";"Dostupno";"https://woolf.hr/anatomske-papuce-proizvod-11872/"
"JPF370_1GREY";"Dr. Jack ANATOMSKE PAPUČE";"Dr. Jack";"Žensko - Obuća - Papuče";"16,99";"21,99";"36, 38, 39, 42";"siva";"Dostupno";"https://woolf.hr/anatomske-papuce-proizvod-11873/"
"JPF370_PURPLE";"Dr. Jack ANATOMSKE PAPUČE";"Dr. Jack";"Žensko - Obuća - Papuče";"16,99";"21,99";"36, 39, 40, 41, 42";"ljubicasta";"Dostupno";"https://woolf.hr/anatomske-papuce-proizvod-11874/"
"JPF370_YELLOW";"Dr. Jack ANATOMSKE PAPUČE";"Dr. Jack";"Žensko - Obuća - Papuče";"16,99";"21,99";"36, 37, 38, 39, 40, 41, 42";"zuta";"Dostupno";"https://woolf.hr/anatomske-papuce-proizvod-11875/"
"JPF370_RED";"Dr. Jack ANATOMSKE PAPUČE";"Dr. Jack";"Žensko - Obuća - Papuče";"16,99";"21,99";"36, 37, 38, 39, 40, 41, 42";"crvena";"Dostupno";"https://woolf.hr/anatomske-papuce-proizvod-11876/"
"JPF370_PINK";"Dr. Jack ANATOMSKE PAPUČE";"Dr. Jack";"Žensko - Obuća - Papuče";"16,99";"21,99";"36, 37, 38, 39, 40, 41, 42";"pink";"Dostupno";"https://woolf.hr/anatomske-papuce-proizvod-11877/"
"JPF370_GREEN";"Dr. Jack ANATOMSKE PAPUČE";"Dr. Jack";"Žensko - Obuća - Papuče";"16,99";"21,99";"37, 38, 40, 41, 42";"zelena";"Dostupno";"https://woolf.hr/anatomske-papuce-proizvod-11878/"
"sm-001540";"Eletronbike ELETRONBIKE OC20 električni bicikl - bež";"Eletronbike";"Uređaji - TEHNIKA - Električni motocikli";"1099,00";"1099,00";"";"";"Dostupno";"https://woolf.hr/eletronbike-oc20-elektricni-bicikl-bez-proizvod-12892/"
"sm-001535";"Eletronbike ELETRONBIKE OC26 električni bicikl - plavi";"Eletronbike";"Uređaji - TEHNIKA - Električni motocikli";"1499,00";"1499,00";"";"";"Dostupno";"https://woolf.hr/eletronbike-oc26-elektricni-bicikl-plavi-proizvod-12903/"
"sm-001533";"Eletronbike ELETRONBIKE OC26 električni bicikl - smeđi";"Eletronbike";"Uređaji - TEHNIKA - Električni motocikli";"1499,00";"1499,00";"";"";"Dostupno";"https://woolf.hr/eletronbike-oc26-elektricni-bicikl-smedi-proizvod-12897/"
"sm-001525";"Eletronbike ELETRONBIKE OD20 električni bicikl - crni";"Eletronbike";"Uređaji - TEHNIKA - Električni motocikli";"999,00";"1099,00";"";"";"Dostupno";"https://woolf.hr/eletronbike-od20-elektricni-bicikl-crni-proizvod-12898/"
"sm-001536";"Eletronbike ELETRONBIKE OG20 električni bicikl - sivi";"Eletronbike";"Uređaji - TEHNIKA - Električni motocikli";"1499,00";"1499,00";"";"";"Dostupno";"https://woolf.hr/eletronbike-og20-elektricni-bicikl-sivi-proizvod-12893/"
"sm-001537";"Eletronbike ELETRONBIKE OG20 električni bicikl - zeleni";"Eletronbike";"Uređaji - TEHNIKA - Električni motocikli";"1499,00";"1499,00";"";"";"Dostupno";"https://woolf.hr/eletronbike-og20-elektricni-bicikl-zeleni-proizvod-12902/"
"W2193GW_ROYAL";"EMAKS GLEŽNJAČE";"EMAKS";"Žensko - Obuća - Gležnjače";"41,99";"45,99";"36, 37";"plava";"Dostupno";"https://woolf.hr/gleznjace-proizvod-11128/"
"I_LOVE_MAMA_CRNA";"ESSKIMO KAPA ZA DJECU 1 DO 2g";"ESSKIMO";"Dječje - Odjeća - Kape";"7,79";"11,81";"";"crna";"Dostupno";"https://woolf.hr/vunena-kapa-za-djecu-1-2g-proizvod-2090/"
"I_LOVE_MAMA_SIVA";"ESSKIMO KAPA ZA DJECU 1 DO 2g";"ESSKIMO";"Dječje - Odjeća - Kape";"7,79";"11,81";"";"siva";"Dostupno";"https://woolf.hr/vunena-kapa-za-djecu-1-2g-proizvod-2091/"
"I_LOVE_PAPA_PLAVA";"ESSKIMO KAPA ZA DJECU 1 DO 2g";"ESSKIMO";"Dječje - Odjeća - Kape";"7,79";"11,81";"";"plava";"Dostupno";"https://woolf.hr/vunena-kapa-za-djecu-1-2g-proizvod-2092/"
"I_LOVE_PAPA_SVPLAVA";"ESSKIMO KAPA ZA DJECU 1 DO 2g";"ESSKIMO";"Dječje - Odjeća - Kape";"7,79";"11,81";"";"plava";"Dostupno";"https://woolf.hr/vunena-kapa-za-djecu-1-2g-proizvod-2093/"
"I_LOVE_PAPA_SIVA";"ESSKIMO KAPA ZA DJECU 1 DO 2g";"ESSKIMO";"Dječje - Odjeća - Kape";"7,79";"11,81";"";"siva";"Dostupno";"https://woolf.hr/vunena-kapa-za-djecu-1-2g-proizvod-2095/"
"HAMBURG_CRVENA";"ESSKIMO KAPA ZA DJECU 3 DO 5g";"ESSKIMO";"Dječje - Odjeća - Kape";"7,79";"11,81";"";"crvena";"Dostupno";"https://woolf.hr/vunena-kapa-za-djecu-3-5g-proizvod-2097/"
"OPATIJA_PLAVA";"ESSKIMO VUNENA KAPA ZA ODRASLE";"ESSKIMO";"Žensko - Odjeća - Kape";"11,49";"13,14";"";"plava";"Dostupno";"https://woolf.hr/vunena-kapa-za-odrasle-proizvod-1999/"
"OPATIJA_CRVENA";"ESSKIMO VUNENA KAPA ZA ODRASLE";"ESSKIMO";"Žensko - Odjeća - Kape";"11,49";"13,14";"";"crvena";"Dostupno";"https://woolf.hr/vunena-kapa-za-odrasle-proizvod-2000/"
"SPLIT_CRNA";"ESSKIMO VUNENA KAPA ZA ODRASLE";"ESSKIMO";"Žensko - Odjeća - Kape";"11,49";"13,14";"";"crna";"Dostupno";"https://woolf.hr/vunena-kapa-za-odrasle-proizvod-2004/"
"RIJEKA_CRNA";"ESSKIMO VUNENA KAPA ZA ODRASLE";"ESSKIMO";"Žensko - Odjeća - Kape";"11,49";"13,14";"";"crna";"Dostupno";"https://woolf.hr/vunena-kapa-za-odrasle-proizvod-2006/"
"SPLIT_BIJELA";"ESSKIMO VUNENA KAPA ZA ODRASLE";"ESSKIMO";"Žensko - Odjeća - Kape";"11,49";"13,14";"";"bijela";"Dostupno";"https://woolf.hr/vunena-kapa-za-odrasle-proizvod-2166/"
"OPATIJA_BLACK";"ESSKIMO VUNENA KAPA ZA ODRASLE";"ESSKIMO";"Žensko - Odjeća - Kape";"11,49";"13,14";"";"crna";"Dostupno";"https://woolf.hr/vunena-kapa-za-odrasle-proizvod-2178/"
"OPATIJA_BEIGE";"ESSKIMO VUNENA KAPA ZA ODRASLE";"ESSKIMO";"Žensko - Odjeća - Kape - Zimske kape";"11,49";"13,14";"";"bez";"Dostupno";"https://woolf.hr/vunena-kapa-za-odrasle-proizvod-5931/"
"HR22_BLUE";"ESSKIMO VUNENA KAPA ZA ODRASLE";"ESSKIMO";"Žensko - Odjeća - Kape";"13,14";"13,14";"";"";"Dostupno";"https://woolf.hr/vunena-kapa-za-odrasle-proizvod-8234/"
"VISTA_RED";"ESSKIMO VUNENA KAPA ZA ODRASLE";"ESSKIMO";"Žensko - Odjeća - Kape";"10,49";"13,14";"";"crvena";"Dostupno";"https://woolf.hr/vunena-kapa-za-odrasle-proizvod-9670/"
"RIJEKA_GREY";"ESSKIMO VUNENA KAPA ZA ODRASLE";"ESSKIMO";"Žensko - Odjeća - Kape";"11,49";"13,14";"";"siva";"Dostupno";"https://woolf.hr/vunena-kapa-za-odrasle-proizvod-9671/"
"OPATIJA_ROYAL";"ESSKIMO VUNENA KAPA ZA ODRASLE";"ESSKIMO";"Žensko - Odjeća - Kape";"11,49";"13,14";"";"plava";"Dostupno";"https://woolf.hr/vunena-kapa-za-odrasle-proizvod-9673/"
"SV_MARTIN_WHITE";"ESSKIMO VUNENA KAPA ZA ODRASLE";"ESSKIMO";"Žensko - Odjeća - Kape";"11,49";"13,14";"";"bijela";"Dostupno";"https://woolf.hr/vunena-kapa-za-odrasle-proizvod-9676/"
"598_01_BEIGE";"FASHION SANDALE";"FASHION";"Žensko - Obuća - Sandale";"14,99";"16,99";"37";"bez";"Dostupno";"https://woolf.hr/sandale-proizvod-11716/"
"4148_Y_NAVY";"FASHION TENISICE";"FASHION";"Žensko - Obuća - Tenisice";"24,99";"27,99";"37, 38";"plava";"Dostupno";"https://woolf.hr/tenisice-proizvod-12046/"
"MING_BROWN";"Flexy line CIPELE";"Flexy line";"Muško - Obuća - Cipele";"18,99";"22,43";"45";"smeda";"Dostupno";"https://woolf.hr/cipele-proizvod-6626/"
"TANER_BLACK";"Flexy line CIPELE";"Flexy line";"Muško - Obuća - Cipele";"26,99";"29,99";"44";"crna";"Dostupno";"https://woolf.hr/cipele-proizvod-10011/"
"TANO_BLACK";"Flexy line CIPELE";"Flexy line";"Muško - Obuća - Cipele";"26,99";"29,99";"43, 44";"crna";"Dostupno";"https://woolf.hr/cipele-proizvod-10012/"
"METE_BLACK";"Flexy line LJETNE CIPELE SANDALE";"Flexy line";"Muško - Obuća - Sandale";"18,99";"21,99";"44, 45, 46";"crna";"Dostupno";"https://woolf.hr/ljetne-cipele-sandale-proizvod-4827/"
"MYLO_1BLACK";"Flexy line SANDALE";"Flexy line";"Muško - Obuća - Sandale";"19,99";"21,99";"41, 42, 43";"crna";"Dostupno";"https://woolf.hr/sandale-proizvod-9001/"
"MYLO_1_BROWN";"Flexy line SANDALE";"Flexy line";"Muško - Obuća - Sandale";"19,99";"21,99";"42, 43";"smeda";"Dostupno";"https://woolf.hr/sandale-proizvod-9002/"
"G30_BEIGE";"FLUFOR CIPELE";"FLUFOR";"Žensko - Obuća - Cipele";"27,99";"31,99";"36";"bez";"Dostupno";"https://woolf.hr/cipele-proizvod-11331/"
"D_314_WHITE";"FRATELLI BABB ANATOMSKE KLOMPE";"FRATELLI BABB";"Žensko - Obuća - Anatomska obuća - Klompe";"47,99";"52,99";"37";"bijela";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-10587/"
"D_315_FLOWER";"FRATELLI BABB ANATOMSKE KLOMPE";"FRATELLI BABB";"Žensko - Obuća - Anatomska obuća - Klompe";"48,99";"52,99";"36, 37, 38, 40, 42";"bijela";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-10588/"
"D_312_FLOWER";"FRATELLI BABB ANATOMSKE KLOMPE";"FRATELLI BABB";"Žensko - Obuća - Anatomska obuća - Klompe";"37,99";"42,99";"37";"bijela";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-10589/"
"D_316_FLOWER";"FRATELLI BABB ANATOMSKE KLOMPE";"FRATELLI BABB";"Žensko - Obuća - Anatomska obuća - Klompe";"47,99";"52,99";"36";"bijela";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-10696/"
"D_312_SILVER";"FRATELLI BABB ANATOMSKE KLOMPE";"FRATELLI BABB";"Žensko - Obuća - Anatomska obuća - Klompe";"41,99";"47,99";"36, 37";"srebrna";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-10697/"
"D_312_DOKTOR";"FRATELLI BABB ANATOMSKE KLOMPE";"FRATELLI BABB";"Žensko - Obuća - Anatomska obuća - Klompe";"41,99";"47,99";"36";"bijela";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-10698/"
"D_300_FLOWER";"FRATELLI BABB ANATOMSKE KLOMPE";"FRATELLI BABB";"Žensko - Obuća - Anatomska obuća - Klompe";"42,74";"44,99";"36, 37, 38, 40, 41, 42";"bijela";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-10700/"
"D_316_BRONZE";"FRATELLI BABB ANATOMSKE KLOMPE";"FRATELLI BABB";"Žensko - Obuća - Anatomska obuća - Klompe";"48,99";"52,99";"36, 38, 40, 41, 42";"broncana";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-11058/"
"D_316_BLACK";"FRATELLI BABB ANATOMSKE KLOMPE";"FRATELLI BABB";"Žensko - Obuća - Anatomska obuća - Klompe";"48,99";"52,99";"39";"crna";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-11059/"
"D_316_SILVER";"FRATELLI BABB ANATOMSKE KLOMPE";"FRATELLI BABB";"Žensko - Obuća - Anatomska obuća - Klompe";"48,99";"52,99";"36, 38, 39, 41";"srebrna";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-11060/"
"D314_PERLA";"FRATELLI BABB ANATOMSKE KLOMPE";"FRATELLI BABB";"Žensko - Obuća - Anatomska obuća - Klompe";"46,99";"51,99";"36, 37";"srebrna";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-11767/"
"D314_WHITE";"FRATELLI BABB ANATOMSKE KLOMPE";"FRATELLI BABB";"Žensko - Obuća - Anatomska obuća - Klompe";"46,99";"51,99";"36";"bijela";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-11768/"
"D315_FLOWER";"FRATELLI BABB ANATOMSKE KLOMPE";"FRATELLI BABB";"Žensko - Obuća - Anatomska obuća - Klompe";"46,99";"51,99";"39";"cvjetna";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-11769/"
"D_300_BLACK";"FRATELLI BABB ANATOMSKE KLOMPE";"FRATELLI BABB";"Žensko - Obuća - Anatomska obuća - Klompe";"40,49";"44,99";"37, 38, 39, 40, 41";"crna";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12739/"
"D_312_FLOWER_K";"FRATELLI BABB ANATOMSKE KLOMPE";"FRATELLI BABB";"Žensko - Obuća - Anatomska obuća - Klompe";"38,69";"42,99";"36, 37, 38, 39, 40, 41";"cvjetna";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12740/"
"D_316_WHITE_K";"FRATELLI BABB ANATOMSKE KLOMPE";"FRATELLI BABB";"Žensko - Obuća - Anatomska obuća - Klompe";"48,99";"52,99";"36, 37, 38, 39, 40, 41, 42";"bijela";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12741/"
"D_322_PWDSILV_K";"FRATELLI BABB ANATOMSKE KLOMPE";"FRATELLI BABB";"Žensko - Obuća - Anatomska obuća - Klompe";"47,69";"52,99";"36, 37, 40, 42";"srebrna";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12742/"
"D_317_K_BLACK";"FRATELLI BABB ANATOMSKE KLOMPE";"FRATELLI BABB";"Žensko - Obuća - Anatomska obuća - Klompe";"48,99";"52,99";"36, 37, 38, 39, 40, 41";"crna]]><![CDATA[zuta";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12848/"
"U_31_WHITE";"FRATELLI BABB ANATOMSKE KLOMPE";"FRATELLI BABB";"Muško - Obuća - Anatomska obuća - Klompe";"47,69";"52,99";"41, 45, 46";"bijela";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12905/"
"D_300_BRONZE";"FRATELLI BABB ANATOMSKE KLOMPE";"FRATELLI BABB";"Žensko - Obuća - Anatomska obuća - Klompe";"42,99";"47,99";"36, 37, 38, 39, 40";"broncana";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12906/"
"D_312_PLUTASILVER";"FRATELLI BABB ANATOMSKE KLOMPE";"FRATELLI BABB";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"49,99";"36, 37, 38, 39, 40, 41";"srebrna";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12907/"
"D_175_BLACK";"FRATELLI BABB NATIKAČE";"FRATELLI BABB";"Žensko - Obuća - Natikače";"36,99";"44,99";"37";"crna";"Dostupno";"https://woolf.hr/natikace-proizvod-10531/"
"4148_7_NAVY";"FREELAND TENISICE";"FREELAND";"Muško - Obuća - Tenisice";"22,49";"24,99";"44";"plava";"Dostupno";"https://woolf.hr/tenisice-proizvod-6441/"
"4148_Y_BLACK";"FREELAND TENISICE";"FREELAND";"Žensko - Obuća - Tenisice";"24,99";"27,99";"37";"crna";"Dostupno";"https://woolf.hr/tenisice-proizvod-12047/"
"4148_1_SMEDA";"FREELAND TENISICE";"FREELAND";"Muško - Obuća - Tenisice";"22,49";"24,99";"41";"smeda";"Dostupno";"https://woolf.hr/tenisice-proizvod-12426/"
"5370_BLACK";"FUDALI CIPELE";"FUDALI";"Žensko - Obuća - Cipele";"22,99";"26,99";"38";"crna";"Dostupno";"https://woolf.hr/cipele-proizvod-10207/"
"3130_BLACK";"FUDALI MODNE ČIZME";"FUDALI";"Žensko - Obuća - Čizme";"29,99";"36,99";"37";"crna";"Dostupno";"https://woolf.hr/modne-cizme-proizvod-11082/"
"LET651_BLACK";"FUDALI SANDALE";"FUDALI";"Žensko - Obuća - Sandale";"22,99";"27,99";"37";"crna";"Dostupno";"https://woolf.hr/sandale-proizvod-11488/"
"968_BLACK";"FUDALI SANDALE";"FUDALI";"Žensko - Obuća - Sandale";"19,99";"22,99";"38";"crna";"Dostupno";"https://woolf.hr/sandale-proizvod-11555/"
"SVANTE_NAVY";"GAN'S KOŽNE CIPELE";"GAN'S";"Muško - Obuća - Cipele";"40,99";"44,99";"42, 43, 44";"plava";"Dostupno";"https://woolf.hr/kozne-cipele-proizvod-483/"
"1040_BLACK";"GAVIAL ČETKA ZA NUBUK I TEKSTIL";"GAVIAL";"Žensko - Dodaci - Četke za cipele";"3,99";"3,99";"";"crna";"Dostupno";"https://woolf.hr/cetka-za-nubuk-i-tekstil-proizvod-10770/"
"1060_BROWN";"GAVIAL KREMA ZA CIPELE GAVIAL 50ML";"GAVIAL";"Žensko - Dodaci - Kreme za cipele";"2,99";"2,99";"";"smeda";"Dostupno";"https://woolf.hr/krema-za-cipele-gavial-50ml-proizvod-10777/"
"1060_NEUTRAL";"GAVIAL KREMA ZA CIPELE GAVIAL 50ML";"GAVIAL";"Žensko - Dodaci - Kreme za cipele";"2,99";"2,99";"";"bezbojno";"Dostupno";"https://woolf.hr/krema-za-cipele-gavial-50ml-proizvod-11197/"
"1100_NATUR";"GAVIAL KREMA ZA KOŽU 70ML";"GAVIAL";"Žensko - Dodaci - Kreme za cipele";"9,49";"9,49";"";"bezbojno";"Dostupno";"https://woolf.hr/krema-za-kozu-70ml-proizvod-11977/"
"1020_BLACK";"GAVIAL SPUŽVICA ZA OBUĆU";"GAVIAL";"Muško - Muški dodaci - Četke za cipele";"2,99";"2,99";"";"crna";"Dostupno";"https://woolf.hr/spuzvica-za-obucu-proizvod-11988/"
"1070_BLACK";"GAVIAL TEKUĆE SJAJILO 75ML";"GAVIAL";"Žensko - Dodaci - Kreme za cipele";"3,99";"3,99";"";"crna";"Dostupno";"https://woolf.hr/tekuce-sjajilo-75ml-proizvod-10895/"
"2500_WHITE";"GAVIAL VEZICE  RAVNE";"GAVIAL";"Žensko - Dodaci - Vezice za obuću";"2,49";"2,49";"75cm, 90cm, 150cm";"bijela";"Dostupno";"https://woolf.hr/vezice-ravne-proizvod-10781/"
"110_WHITE";"GAVIAL VEZICE  RAVNE";"GAVIAL";"Žensko - Dodaci - Vezice za obuću";"2,49";"2,49";"60cm";"bijela";"Dostupno";"https://woolf.hr/vezice-ravne-proizvod-12138/"
"2500_1_BLACK";"GAVIAL VEZICE  RAVNE";"GAVIAL";"Žensko - Dodaci - Vezice za obuću";"2,49";"2,49";"150cm";"crna";"Dostupno";"https://woolf.hr/vezice-ravne-proizvod-12141/"
"2500_1_WHITE";"GAVIAL VEZICE  RAVNE";"GAVIAL";"Žensko - Dodaci - Vezice za obuću";"3,49";"3,49";"180cm, 200cm";"bijela";"Dostupno";"https://woolf.hr/vezice-ravne-proizvod-12142/"
"2500_CRNA";"GAVIAL VEZICE  RAVNE";"GAVIAL";"Žensko - Dodaci - Vezice za obuću";"3,49";"3,49";"180cm";"crna";"Dostupno";"https://woolf.hr/vezice-ravne-proizvod-12144/"
"2500_BROWN";"GAVIAL VEZICE  RAVNE";"GAVIAL";"Žensko - Dodaci - Vezice za obuću";"3,49";"3,49";"180cm";"smeda";"Dostupno";"https://woolf.hr/vezice-ravne-proizvod-12145/"
"15158_WHITE";"GEZER ANATOMSKE KLOMPE";"GEZER";"Žensko - Obuća - Anatomska obuća - Klompe";"19,99";"20,99";"37, 38, 39, 40, 41, 42";"sareno";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-9188/"
"15158_1WHITE";"GEZER ANATOMSKE KLOMPE";"GEZER";"Žensko - Obuća - Anatomska obuća - Klompe";"19,99";"20,99";"37, 38, 39, 40, 41";"sareno";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-9189/"
"13466_1FLOWER";"GEZER ANATOMSKE KLOMPE";"GEZER";"Žensko - Obuća - Anatomska obuća - Klompe";"19,99";"22,99";"38, 41";"cvjetna";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-9222/"
"15158_2WHITE";"GEZER ANATOMSKE KLOMPE";"GEZER";"Žensko - Obuća - Anatomska obuća - Klompe";"19,99";"20,99";"37, 39, 41";"sareno";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-9733/"
"13466_BLACK_FLOW";"GEZER ANATOMSKE KLOMPE";"GEZER";"Žensko - Obuća - Anatomska obuća - Klompe";"19,99";"22,99";"37, 38, 40";"bijela, cvjetna";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-9813/"
"13464_BEIGEB";"GEZER ANATOMSKE NATIKAČE";"GEZER";"Žensko - Obuća - Natikače";"17,99";"19,99";"39, 41";"bez";"Dostupno";"https://woolf.hr/anatomske-natikace-proizvod-6707/"
"13464_BEIGEN";"GEZER ANATOMSKE NATIKAČE";"GEZER";"Žensko - Obuća - Natikače";"17,99";"19,99";"39, 41";"plava";"Dostupno";"https://woolf.hr/anatomske-natikace-proizvod-6708/"
"13464_BORDOW";"GEZER ANATOMSKE NATIKAČE";"GEZER";"Žensko - Obuća - Natikače";"17,99";"19,99";"37, 38, 39, 41";"crvena";"Dostupno";"https://woolf.hr/anatomske-natikace-proizvod-6710/"
"13464_BEIGEBL";"GEZER ANATOMSKE NATIKAČE";"GEZER";"Žensko - Obuća - Natikače";"17,99";"19,99";"38, 39";"bez]]><![CDATA[crna";"Dostupno";"https://woolf.hr/anatomske-natikace-proizvod-6764/"
"13464_BLACKB";"GEZER ANATOMSKE NATIKAČE";"GEZER";"Žensko - Obuća - Natikače";"17,99";"19,99";"39";"bez";"Dostupno";"https://woolf.hr/anatomske-natikace-proizvod-6765/"
"14634_BLACK";"GEZER NATIKAČE";"GEZER";"Žensko - Obuća - Natikače";"15,99";"17,99";"37";"crna";"Dostupno";"https://woolf.hr/natikace-proizvod-8909/"
"14634_NAVY";"GEZER NATIKAČE";"GEZER";"Žensko - Obuća - Natikače";"15,99";"17,99";"37";"plava";"Dostupno";"https://woolf.hr/natikace-proizvod-8910/"
"14634_WHITE";"GEZER NATIKAČE";"GEZER";"Žensko - Obuća - Natikače";"15,99";"17,99";"38, 39";"bijela";"Dostupno";"https://woolf.hr/natikace-proizvod-8911/"
"14634_PINK";"GEZER NATIKAČE";"GEZER";"Žensko - Obuća - Natikače";"15,99";"17,99";"37, 39";"pink";"Dostupno";"https://woolf.hr/natikace-proizvod-9055/"
