"Šifra";"Naziv proizvoda";"Brend";"Kategorija";"Aktualna cijena (EUR)";"Redovna cijena (EUR)";"Dostupne veličine";"Boja";"Dostupnost";"Poveznica"
"613_BLACK";"ADLER PLAYTIME KRATKE HLAČE";"ADLER";"Dječje - Odjeća - Hlače - Kratke hlače";"9,09";"9,09";"6";"crna";"Dostupno";"https://woolf.hr/playtime-kratke-hlace-proizvod-7090/"
"613_RED";"ADLER PLAYTIME KRATKE HLAČE";"ADLER";"Dječje - Odjeća - Hlače - Kratke hlače";"9,99";"9,99";"12";"crvena";"Dostupno";"https://woolf.hr/playtime-kratke-hlace-proizvod-9259/"
"134_RED";"ADLER ŽENSKA MAJICA";"ADLER";"Žensko - Odjeća - Majice - T-shirt";"5,09";"6,50";"xs";"crvena";"Dostupno";"https://woolf.hr/zenska-majica-basic-proizvod-4621/"
"134_GREEN_APPLE";"ADLER ŽENSKA MAJICA";"ADLER";"Žensko - Odjeća - Majice - T-shirt";"5,09";"6,50";"xs";"zelena";"Dostupno";"https://woolf.hr/zenska-majica-proizvod-4735/"
"sm-001551";"Akluer 520A-B traka za trčanje s masažom stopala";"";"Fitnes - SPRAVE I DODACI - Sprave - Trake za hodanje i trčanje";"289,00";"289,00";"";"";"Dostupno";"https://woolf.hr/akluer-520a-b-traka-za-trcanje-s-masazom-stopala-proizvod-12948/"
"sm-001550";"AKLUER Akluer 480L-B traka za hodanje i trčanje";"AKLUER";"Fitnes - SPRAVE I DODACI - Sprave - Trake za hodanje i trčanje";"229,00";"229,00";"";"";"Dostupno";"https://woolf.hr/akluer-480l-b-traka-za-hodanje-i-trcanje-proizvod-12949/"
"BORKUM_WHITE";"ANATOMSKE KLOMPE";"";"Žensko - Obuća - Anatomska obuća - Klompe";"29,99";"32,99";"36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46";"bijela";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12635/"
"BORKUM_BLACK";"ANATOMSKE KLOMPE";"";"Žensko - Obuća - Anatomska obuća - Klompe";"29,99";"32,99";"36, 38, 39, 40, 41, 42, 43, 44, 45, 46";"crna";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12636/"
"BORKUM_RED";"ANATOMSKE KLOMPE";"";"Žensko - Obuća - Anatomska obuća - Klompe";"29,99";"32,99";"36, 37, 38, 39, 40, 41, 42";"crvena";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12637/"
"BORKUM_FLOWER";"ANATOMSKE KLOMPE";"";"Žensko - Obuća - Anatomska obuća - Klompe";"31,49";"34,99";"36, 37, 38, 41, 42";"cvjetna";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12638/"
"BORKUM_NEWS";"ANATOMSKE KLOMPE";"";"Žensko - Obuća - Anatomska obuća - Klompe";"31,49";"34,99";"36, 37, 38, 39, 40, 41, 42";"novine";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12639/"
"BORKUM_42FLOWER";"ANATOMSKE KLOMPE";"";"Žensko - Obuća - Anatomska obuća - Klompe";"31,49";"34,99";"39, 41";"cvjetna";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12940/"
"AK0137_03_BLUE";"ANDY-Z PLATNENE TENISICE";"ANDY-Z";"Dječje - Obuća - Tenisice";"6,99";"19,78";"31";"plava";"Dostupno";"https://woolf.hr/platnene-tenisice-proizvod-1660/"
"M184_R_BLACK";"ANTONIA COMFORT ANATOMSKE KLOMPE";"ANTONIA COMFORT";"Žensko - Obuća - Anatomska obuća - Klompe";"22,49";"24,99";"37";"crna";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-1959/"
"M191_HEART";"ANTONIA COMFORT ANATOMSKE KLOMPE";"ANTONIA COMFORT";"Žensko - Obuća - Anatomska obuća - Klompe";"22,99";"24,99";"37";"sareno";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12437/"
"M191_G_FLOWER";"ANTONIA COMFORT ANATOMSKE KLOMPE";"ANTONIA COMFORT";"Žensko - Obuća - Anatomska obuća - Klompe";"22,99";"24,99";"37";"";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12438/"
"M191_VJE";"ANTONIA COMFORT ANATOMSKE KLOMPE";"ANTONIA COMFORT";"Žensko - Obuća - Anatomska obuća - Klompe";"22,99";"24,99";"37, 40";"sareno";"Dostupno";"https://woolf.hr/anatomske-klompe-proizvod-12439/"
