"Šifra";"Sidrena cijena (EUR)"
"4157_NAVY";"26,41"
"4158_1GREY";"26,99"
"4158_BLACK";"26,99"
"4158_GREY";"26,41"
"4247_PINK";"48,99"
"4250_BLACK";"44,99"
"4250_N_PERLA";"49,99"
"4250_PERLA";"39,68"
"4250_PINK";"46,99"
"4250_SILVER";"46,99"
"4250_WHITE";"44,99"
"4251_1_MINT";"51,99"
"4251_MINT";"47,99"
"4251_MINT_SILVER";"42,99"
"4251_PERLA";"42,99"
"4259_NAVY";"6,50"
"4259_PURPLE";"6,50"
"4259_RED";"6,50"
"4259_WHITE";"6,50"
"4350_FLOWER";"26,99"
"4350_FLOWER_WHT";"29,99"
"4350_HEARTS";"29,99"
"4352_1FLOWER";"29,99"
"4352_FLOWER";"26,41"
"4358_FLOWER_I";"26,41"
"4358_FLOWER_II";"26,41"
"4358_FLOWER_III";"26,41"
"4367_FLOWER_BLK";"29,99"
"4367_WHT_FLOWER";"29,99"
"4371_FLOWER_I";"28,99"
"4371_WHITE";"29,99"
"4372_1BLK_FLOWER";"28,99"
"4372_1FLOWER";"26,99"
"4372_BLACK_F";"26,41"
"4372_BLACK_FLOWER";"26,41"
"4372_BLK_FLOWER";"24,99"
"4372_FLOWER";"32,99"
"4372_HEART";"26,41"
"4372_WHITE_FLOWER";"26,41"
"4386_BLACK";"10,49"
"4386_BROWN";"10,49"
"4386_DARKBROWN";"10,49"
"4386_GREY";"10,49"
"4386_NAVY";"10,49"
"4530_BLUE";"29,07"
"4530_PINK";"29,07"
"4700_BLACK";"46,99"
"4700_BROWN";"39,68"
"4700_N_BLACK";"45,99"
"4701_BLACK";"25,99"
"04770_BLACK";"17,12"
"4776_BEIGE";"19,78"
"4776_BLACK";"19,78"
"4921_BLACK";"33,05"
"4944_PURPLE";"28,99"
"5000_002_16_BROWN_BEIGE";"15,79"
"5000_002_16_ORANGE_GREY";"15,79"
"5000_002_20_MATBEIGE";"13,14"
"5000_002_20_MATBROWN";"13,14"
"5000_002_20_MATGREY";"13,14"
"5000_002_BEIGE";"13,14"
"5000_002_BLACK";"13,14"
"5000_002_BROWN";"13,14"
"5000_002_MATBLUE";"13,14"
"5000_002_WHITE";"13,14"
"5000_BROWN";"58,99"
"5001_002_09_BLACK";"13,14"
"5001_002_09_GREY";"13,14"
"5001_002_09_WHITE";"13,14"
"5001_002_20_BLACK";"13,14"
"5001_002_20_BLUE";"13,14"
"5001_BLACK";"44,99"
"5001_N_BLACK";"44,99"
"5001_N_PERLA";"52,99"
"5001_N_WHITE";"51,99"
"5001_PERLA";"44,99"
"5001_RED";"36,99"
"5001_SILVER";"51,99"
"5001_WHITE";"44,99"
"5002_BLACK";"51,99"
"5002_N_BLACK";"42,99"
"5002_N_PERLA";"42,99"
"5002_N_WHITE";"42,99"
"5002_PERLA";"46,99"
"5002_WHITE";"46,99"
"5011_BLUE";"19,99"
"5066_1WHITE";"23,99"
"5066_BEIGE";"23,99"
"5066_WHITE";"23,99"
"5110_RED";"19,78"
"5329_BLACK";"26,99"
"5370_BLACK";"22,99"
"5411_NAVY";"46,32"
"5413_BLACK";"9,99"
